"brand_id","name","logo_url","description","is_active","slug","updated_at","created_at"
"1","109F","","Thương hiệu 109F được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","109f","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"2","AND","","Thương hiệu AND được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","and","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"3","Adidas","","Thương hiệu Adidas được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","adidas","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"4","Adidas Originals","","Thương hiệu Adidas Originals được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","adidas-originals","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"5","Allen","","Thương hiệu Allen được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","allen","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"6","Angry","","Thương hiệu Angry được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","angry","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"7","Arrow","","Thương hiệu Arrow được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","arrow","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"8","Asics","","Thương hiệu Asics được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","asics","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"9","Avirate","","Thương hiệu Avirate được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","avirate","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"10","Basics","","Thương hiệu Basics được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","basics","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"11","Bata","","Thương hiệu Bata được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","bata","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"12","Batman","","Thương hiệu Batman được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","batman","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"13","Belmonte","","Thương hiệu Belmonte được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","belmonte","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"14","Black Coffee","","Th??ng hi?u Black Coffee ???c chu?n h?a l?i sau khi import dataset.","True","black-coffee","6/19/2026 2:48:01 PM","6/17/2026 10:37:27 AM"
"15","Btwin","","Thương hiệu Btwin được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","btwin","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"16","Buckaroo","","Thương hiệu Buckaroo được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","buckaroo","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"17","C Vox","","Th??ng hi?u C Vox ???c chu?n h?a l?i sau khi import dataset.","True","c-vox","6/19/2026 2:48:01 PM","6/17/2026 10:37:27 AM"
"18","Calvin","","Thương hiệu Calvin được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","calvin","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"19","Carlton","","Thương hiệu Carlton được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","carlton","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
