"image_id","image_url","is_primary","product_id","variant_id","alt_text","display_order","created_at"
"1","https://res.cloudinary.com/druymbf9y/image/upload/v1781667981/fashion-ai-shop/products/casual-shoes/adidas-originals-men-superstar-11-white-casual-shoes-15222.jpg","True","1","1","ADIDAS Originals Men Superstar 11 White Casual Shoes","1","6/17/2026 10:39:31 AM"
"2","https://res.cloudinary.com/druymbf9y/image/upload/v1781667982/fashion-ai-shop/products/casual-shoes/vans-men-wylie-black-shoes-29567.jpg","True","2","2","Vans Men Wylie Black Shoes","1","6/17/2026 10:39:31 AM"
"3","https://res.cloudinary.com/druymbf9y/image/upload/v1781667983/fashion-ai-shop/products/casual-shoes/numero-uno-men-white-shoes-45864.jpg","True","3","3","Numero Uno Men White Shoes","1","6/17/2026 10:39:31 AM"
"4","https://res.cloudinary.com/druymbf9y/image/upload/v1781667984/fashion-ai-shop/products/casual-shoes/vans-unisex-authentic-black-shoes-29559.jpg","True","4","4","Vans Unisex Authentic Black Shoes","1","6/17/2026 10:39:31 AM"
"5","https://res.cloudinary.com/druymbf9y/image/upload/v1781667985/fashion-ai-shop/products/casual-shoes/woodland-men-khaki-shoes-38771.jpg","True","5","5","Woodland Men Khaki Shoes","1","6/17/2026 10:39:31 AM"
"6","https://res.cloudinary.com/druymbf9y/image/upload/v1781667985/fashion-ai-shop/products/casual-shoes/puma-women-saba-ballet-fun-black-shoe-3235.jpg","True","6","6","Puma Women Saba Ballet Fun Black Shoe","1","6/17/2026 10:39:31 AM"
"7","https://res.cloudinary.com/druymbf9y/image/upload/v1781667986/fashion-ai-shop/products/casual-shoes/nike-women-capri-white-casual-shoes-12702.jpg","True","7","7","Nike Women Capri White Casual Shoes","1","6/17/2026 10:39:31 AM"
"8","https://res.cloudinary.com/druymbf9y/image/upload/v1781667987/fashion-ai-shop/products/casual-shoes/fila-men-trasform-white-casual-shoes-11986.jpg","True","8","8","Fila Men Trasform White Casual Shoes","1","6/17/2026 10:39:31 AM"
"9","https://res.cloudinary.com/druymbf9y/image/upload/v1781667988/fashion-ai-shop/products/casual-shoes/vans-men-blue-casual-shoes-59937.jpg","True","9","9","Vans Men Blue Casual Shoes","1","6/17/2026 10:39:31 AM"
"10","https://res.cloudinary.com/druymbf9y/image/upload/v1781667989/fashion-ai-shop/products/casual-shoes/numero-uno-men-black-casual-shoes-24249.jpg","True","10","10","Numero Uno Men Black Casual Shoes","1","6/17/2026 10:39:31 AM"
"11","https://res.cloudinary.com/druymbf9y/image/upload/v1781667990/fashion-ai-shop/products/casual-shoes/woodland-men-brown-casual-shoes-22856.jpg","True","11","11","Woodland Men Brown Casual Shoes","1","6/17/2026 10:39:31 AM"
"12","https://res.cloudinary.com/druymbf9y/image/upload/v1781667990/fashion-ai-shop/products/casual-shoes/buckaroo-men-melania-blue-casual-shoes-20706.jpg","True","12","12","Buckaroo Men Melania Blue Casual Shoes","1","6/17/2026 10:39:31 AM"
"13","https://res.cloudinary.com/druymbf9y/image/upload/v1781667991/fashion-ai-shop/products/casual-shoes/numero-uno-women-black-shoe-4073.jpg","True","13","13","Numero Uno Women Black Shoe","1","6/17/2026 10:39:31 AM"
"14","https://res.cloudinary.com/druymbf9y/image/upload/v1781667993/fashion-ai-shop/products/casual-shoes/adidas-originals-women-superstar-2-white-casual-shoes-15261.jpg","True","14","14","ADIDAS Originals Women Superstar 2 White Casual Shoes","1","6/17/2026 10:39:31 AM"
"15","https://res.cloudinary.com/druymbf9y/image/upload/v1781667994/fashion-ai-shop/products/casual-shoes/woodland-men-olive-casual-shoes-22877.jpg","True","15","15","Woodland Men Olive Casual Shoes","1","6/17/2026 10:39:31 AM"
"16","https://res.cloudinary.com/druymbf9y/image/upload/v1781667995/fashion-ai-shop/products/casual-shoes/puma-men-metamostro-grey-purple-shoes-26663.jpg","True","16","16","Puma Men Metamostro Grey & Purple Shoes","1","6/17/2026 10:39:31 AM"
"17","https://res.cloudinary.com/druymbf9y/image/upload/v1781667995/fashion-ai-shop/products/casual-shoes/flying-machine-men-blue-casual-shoes-22104.jpg","True","17","17","Flying Machine Men Blue Casual Shoes","1","6/17/2026 10:39:31 AM"
"18","https://res.cloudinary.com/druymbf9y/image/upload/v1781667996/fashion-ai-shop/products/casual-shoes/numero-uno-men-s-mj-black-white-shoe-4740.jpg","True","18","18","Numero Uno Men's MJ Black White Shoe","1","6/17/2026 10:39:31 AM"
"19","https://res.cloudinary.com/druymbf9y/image/upload/v1781667997/fashion-ai-shop/products/casual-shoes/nike-men-air-max-90-vt-grey-casual-shoes-22729.jpg","True","19","19","Nike Men Air Max 90 VT Grey Casual Shoes","1","6/17/2026 10:39:31 AM"
"20","https://res.cloudinary.com/druymbf9y/image/upload/v1781667998/fashion-ai-shop/products/casual-shoes/roxy-women-cute-lime-casual-shoes-21472.jpg","True","20","20","Roxy Women Cute Lime Casual Shoes","1","6/17/2026 10:39:31 AM"
"21","https://res.cloudinary.com/druymbf9y/image/upload/v1781667999/fashion-ai-shop/products/casual-shoes/adidas-women-daily-white-purple-shoe-5920.jpg","True","21","21","ADIDAS Women Daily White Purple Shoe","1","6/17/2026 10:39:31 AM"
"22","https://res.cloudinary.com/druymbf9y/image/upload/v1781668000/fashion-ai-shop/products/dresses/femella-women-black-dress-25971.jpg","True","22","22","Femella Women Black Dress","1","6/17/2026 10:39:31 AM"
"23","https://res.cloudinary.com/druymbf9y/image/upload/v1781668001/fashion-ai-shop/products/dresses/latin-quarters-women-brown-printed-dress-57994.jpg","True","23","23","Latin Quarters Women Brown Printed Dress","1","6/17/2026 10:39:31 AM"
"24","https://res.cloudinary.com/druymbf9y/image/upload/v1781668002/fashion-ai-shop/products/dresses/jealous-21-women-black-dress-26935.jpg","True","24","24","Jealous 21 Women Black Dress","1","6/17/2026 10:39:31 AM"
"25","https://res.cloudinary.com/druymbf9y/image/upload/v1781668002/fashion-ai-shop/products/dresses/vero-moda-women-black-dress-43632.jpg","True","25","25","Vero Moda Women Black Dress","1","6/17/2026 10:39:31 AM"
"26","https://res.cloudinary.com/druymbf9y/image/upload/v1781668003/fashion-ai-shop/products/dresses/elle-women-black-dress-57040.jpg","True","26","26","Elle Women Black Dress","1","6/17/2026 10:39:31 AM"
"27","https://res.cloudinary.com/druymbf9y/image/upload/v1781668004/fashion-ai-shop/products/dresses/tonga-women-purple-dress-58503.jpg","True","27","27","Tonga Women Purple Dress","1","6/17/2026 10:39:31 AM"
"28","https://res.cloudinary.com/druymbf9y/image/upload/v1781668005/fashion-ai-shop/products/dresses/avirate-black-purple-women-dress-59981.jpg","True","28","28","Avirate  Black & Purple Women Dress","1","6/17/2026 10:39:31 AM"
"29","https://res.cloudinary.com/druymbf9y/image/upload/v1781668006/fashion-ai-shop/products/dresses/avirate-multicoloured-dress-59971.jpg","True","29","29","Avirate Multicoloured Dress","1","6/17/2026 10:39:31 AM"
"30","https://res.cloudinary.com/druymbf9y/image/upload/v1781668006/fashion-ai-shop/products/dresses/doodle-kids-girl-printed-white-dress-33503.jpg","True","30","30","Doodle Kids Girl Printed White Dress","1","6/17/2026 10:39:31 AM"
"31","https://res.cloudinary.com/druymbf9y/image/upload/v1781668007/fashion-ai-shop/products/dresses/avirate-black-dress-59993.jpg","True","31","31","Avirate Black Dress","1","6/17/2026 10:39:31 AM"
"32","https://res.cloudinary.com/druymbf9y/image/upload/v1781668008/fashion-ai-shop/products/dresses/avirate-black-cream-dress-59982.jpg","True","32","32","Avirate Black & Cream Dress","1","6/17/2026 10:39:31 AM"
"33","https://res.cloudinary.com/druymbf9y/image/upload/v1781668009/fashion-ai-shop/products/dresses/jealous-21-women-black-dress-26928.jpg","True","33","33","Jealous 21 Women Black Dress","1","6/17/2026 10:39:31 AM"
