"variant_id","sku","variant_attributes","price","stock_quantity","product_id","color","size","stock_reserved","low_stock_threshold","is_active","created_at","updated_at"
"1","VS-15222-WHITE-M","{""color"":""White"",""size"":""M""}","699000.00","47","1","White","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"2","VS-29567-BLACK-M","{""color"":""Black"",""size"":""M""}","699000.00","42","2","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"3","VS-45864-WHITE-M","{""color"":""White"",""size"":""M""}","699000.00","31","3","White","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"4","VS-29559-BLACK-M","{""color"":""Black"",""size"":""M""}","699000.00","68","4","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"5","VS-38771-KHAKI-M","{""color"":""Khaki"",""size"":""M""}","699000.00","67","5","Khaki","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"6","VS-3235-BLACK-M","{""color"":""Black"",""size"":""M""}","699000.00","51","6","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"7","VS-12702-WHITE-M","{""color"":""White"",""size"":""M""}","699000.00","33","7","White","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"8","VS-11986-WHITE-M","{""color"":""White"",""size"":""M""}","699000.00","24","8","White","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"9","VS-59937-NAVY-BLUE-M","{""color"":""Navy Blue"",""size"":""M""}","699000.00","68","9","Navy Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"10","VS-24249-BLACK-M","{""color"":""Black"",""size"":""M""}","699000.00","68","10","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"11","VS-22856-BROWN-M","{""color"":""Brown"",""size"":""M""}","699000.00","57","11","Brown","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"12","VS-20706-BLUE-M","{""color"":""Blue"",""size"":""M""}","699000.00","25","12","Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"13","VS-4073-BLACK-M","{""color"":""Black"",""size"":""M""}","699000.00","10","13","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"14","VS-15261-WHITE-M","{""color"":""White"",""size"":""M""}","699000.00","30","14","White","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"15","VS-22877-OLIVE-M","{""color"":""Olive"",""size"":""M""}","699000.00","90","15","Olive","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"16","VS-26663-GREY-M","{""color"":""Grey"",""size"":""M""}","699000.00","74","16","Grey","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"17","VS-22104-BLUE-M","{""color"":""Blue"",""size"":""M""}","699000.00","39","17","Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"18","VS-4740-BLACK-M","{""color"":""Black"",""size"":""M""}","699000.00","76","18","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"19","VS-22729-CHARCOAL-M","{""color"":""Charcoal"",""size"":""M""}","699000.00","21","19","Charcoal","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"20","VS-21472-GREEN-M","{""color"":""Green"",""size"":""M""}","699000.00","53","20","Green","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"21","VS-5920-WHITE-M","{""color"":""White"",""size"":""M""}","699000.00","48","21","White","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"22","VS-25971-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","48","22","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"23","VS-57994-BROWN-M","{""color"":""Brown"",""size"":""M""}","399000.00","58","23","Brown","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"24","VS-26935-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","66","24","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"25","VS-43632-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","29","25","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"26","VS-57040-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","56","26","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"27","VS-58503-WHITE-M","{""color"":""White"",""size"":""M""}","399000.00","38","27","White","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"28","VS-59981-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","66","28","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"29","VS-59971-MULTI-M","{""color"":""Multi"",""size"":""M""}","399000.00","78","29","Multi","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"30","VS-33503-WHITE-M","{""color"":""White"",""size"":""M""}","399000.00","87","30","White","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"31","VS-59993-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","27","31","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"32","VS-59982-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","13","32","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"33","VS-26928-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","75","33","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"34","VS-59987-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","33","34","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"35","VS-54974-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","97","35","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"36","VS-41570-PINK-M","{""color"":""Pink"",""size"":""M""}","399000.00","38","36","Pink","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"37","VS-33505-PINK-M","{""color"":""Pink"",""size"":""M""}","399000.00","59","37","Pink","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
